seed,n,mean,median,sd,lag1_ac,ww_runs,ww_z
1,9500,57.38873684210526,59.0,10.598816864264304,-0.29103062125754287,5970,27.422441589402055
2,9500,57.99536842105263,58.0,11.46736007135278,-0.3373635822298131,6424,35.30762877240597
3,9500,58.728842105263155,60.0,21.123136938530802,-0.3718684209296109,6883,44.332526877932544
4,9500,58.78052631578947,60.0,10.917887773556979,-0.3209476746514613,6301,35.57617878465996
5,9500,59.463157894736845,60.0,13.026037822779251,-0.39129171043050964,6730,44.01695883771474
6,9500,58.59778947368421,60.0,11.569378840195697,-0.38863716287761263,7551,59.55643374400663
7,9500,59.043789473684214,60.0,13.477300296589279,-0.4056039668508665,6960,47.61930271444043
8,9500,57.97178947368421,60.0,11.27730658970467,-0.30418642758923614,5883,29.83279412529089
9,9500,58.466842105263154,60.0,9.695536459142795,-0.2874669561023438,5840,28.024108116196683
10,9500,58.31621052631579,59.0,8.395278022868936,-0.22797820223066217,5330,18.354315602740066
11,9500,57.11705263157895,60.0,13.014830501299022,-0.3189882531964337,6066,32.29115668276051
12,9500,58.62189473684211,60.0,16.08528776104063,-0.4257573121242248,6659,41.12610866239056
13,9500,59.514947368421055,60.0,14.822410420229263,-0.41484255108764284,6897,48.06293761050139
14,9500,57.04642105263158,59.0,12.263127928543746,-0.28586461416776077,5985,28.781079019037865
15,9500,61.577052631578944,55.0,16.155675565625668,-0.3609603968579454,7277,51.835181343535446
16,9500,57.015263157894736,60.0,14.094491053413517,-0.32145223291960573,6404,36.841607515156795
17,9500,56.51357894736842,60.0,15.849749999326175,-0.3440140274838664,6377,38.05471486469891
18,9500,58.40621052631579,60.0,9.425610552404734,-0.1918471604043519,5382,20.17244006562051
19,9500,57.672736842105266,60.0,12.852322014342146,-0.3624517961883985,6724,42.25020263851783
20,9500,58.45326315789474,60.0,11.057269635635526,-0.2996214180999838,6037,30.82446542337661
21,9500,58.985684210526315,60.0,10.264734815112094,-0.3159831562426255,5966,30.837913108997565
22,9500,60.99978947368421,60.0,18.632674119812677,-0.36431653489074506,7064,47.9781325285572
23,9500,60.36031578947368,60.0,10.291118021011865,-0.4292593717403857,6959,51.4871949230407
24,9500,59.19021052631579,60.0,13.669636535197855,-0.43035876749101276,7196,53.99218471310271
25,9500,59.35305263157895,60.0,20.660393620691757,-0.36437469090920793,6875,43.938856003232225
26,9500,58.275052631578944,59.0,11.369912106196344,-0.29721856869397417,6038,28.983336620172647
27,9500,59.241052631578945,60.0,11.561595500732071,-0.4391520322604411,7004,49.616636326295556
28,9500,57.44957894736842,60.0,13.6946873786043,-0.38457843578037804,6610,39.50654633860822
29,9500,57.03694736842105,60.0,10.215006390647691,-0.2749937934794355,5799,26.07187455754109
30,9500,59.49515789473684,60.0,14.034092823228834,-0.4099227534817005,7175,54.0023457790018
31,9500,59.73157894736842,60.0,13.38863926098325,-0.4408106680754425,7758,63.40784102342487
32,9500,57.89136842105263,59.0,9.73099542959494,-0.2167580070433503,5559,21.568104458824255
33,9500,58.810526315789474,60.0,5.320776140724314,-0.1493833260212388,4941,13.767535113748258
34,9500,57.85947368421053,60.0,12.554902682344263,-0.36402172728571985,6627,40.800690411477454
35,9500,58.01378947368421,59.0,10.315678444411517,-0.2696952933410027,5821,26.186045731134424
36,9500,58.61526315789474,60.0,9.690606926322795,-0.2202428906860666,5430,21.974196955377945
37,9500,57.88821052631579,59.0,13.628248560049867,-0.3219575753510031,6472,37.56494298561874
38,9500,58.13336842105263,60.0,15.146885906674353,-0.37881817979622145,6846,45.91940415789356
39,9500,58.74452631578947,60.0,12.316538570858755,-0.410275774936364,6867,46.64570345645026
40,9500,60.95821052631579,61.0,20.317892623678468,-0.364250944265984,6878,43.79861577990305
41,9500,58.108736842105266,60.0,13.935478661193944,-0.35689477006836273,6581,40.94829391417541
42,9500,57.79715789473684,60.0,13.069856619095155,-0.3264383504503863,6946,48.38616026434668
43,9500,57.90221052631579,59.0,10.800432754130119,-0.28254440069163855,5786,25.92822379707161
44,9500,58.33284210526316,60.0,8.624432454848543,-0.1875235593472455,5286,17.900735328146713
45,9500,58.20852631578948,59.0,8.445461161461386,-0.23214206247033414,5572,20.84861215127976
46,9500,60.21778947368421,60.0,13.124010271353196,-0.39556931470143925,7222,53.92131270154739
47,9500,58.41,60.0,11.77393497494312,-0.39715621173855875,6603,42.839929459919325
48,9500,58.85,60.0,11.955506038838315,-0.3745329368385602,6524,40.02515108759741
49,9500,58.75957894736842,59.0,11.958621144488923,-0.3323200164835937,6397,36.08528714046029
50,9500,58.05936842105263,59.0,6.230040378458685,-0.15549507869038784,4984,13.160700223828886
