predictor,total_uses,share_full,total_uses_postburnin,share_postburnin
0,414542,41.4542,398653,41.9635
1,338222,33.8222,322047,33.8997
2,5,0.0005,0,0.0000
3,24,0.0024,24,0.0025
4,7,0.0007,6,0.0006
5,182,0.0182,149,0.0157
6,0,0.0000,0,0.0000
7,70750,7.0750,62163,6.5435
8,3,0.0003,3,0.0003
9,1,0.0001,0,0.0000
10,13359,1.3359,13096,1.3785
11,0,0.0000,0,0.0000
12,44418,4.4418,41759,4.3957
13,100,0.0100,52,0.0055
14,30356,3.0356,29198,3.0735
15,818,0.0818,578,0.0608
16,26742,2.6742,25997,2.7365
17,668,0.0668,638,0.0672
18,29834,2.9834,28137,2.9618
19,741,0.0741,462,0.0486
20,29228,2.9228,27038,2.8461
